Vetorial,LPT,P1,IC,LP1,Cálculo2,Discreta,P2,Grafos,Fís.Clássica,LP2,Cálculo1,cra
8.6,10,9,9.1,8.6,8.4,8.3,8.8,8.2,7.9,9.4,8.7,8.47764705882353
5.6,7,7.7,7,8.1,6.2,7.3,8.2,5.4,7.7,8.9,7,6.8517241379310345
10,9.8,7.9,9.6,8.3,8.7,8.8,9.5,9.2,8.6,9.7,8.6,9.090588235294119
6.1,8.3,6.8,8.2,7.1,8,6.3,8.9,7,8.5,9,7.8,7.283516483516483
8.8,9.3,5,8.5,5.1,5,5.8,7.1,5.4,8.7,8.2,5.2,7.205747126436782
9.4,9.2,9.1,9.3,9.3,5.6,8.2,9,8.5,7.3,9.6,6.1,7.808235294117647
7,9.6,8.3,8.6,8.8,6.7,8.8,9.6,8.4,7.6,9.5,6.3,8.858823529411765
7.5,8.9,7.5,7.9,8.2,5,5.6,7,5.1,7.1,7.9,7.5,6.158823529411765
9.1,9,5,7.9,5.3,5,5.4,8.3,7.1,5.1,8.9,6.6,6.7305882352941175
7,6.5,7.3,9.2,5.9,8.2,5.7,7.1,6.9,7,8,7.5,7.079310344827586
8.7,7.9,8.4,7.5,8.9,8.3,7.6,7.5,7.2,5,9.2,6.6,6.387378640776698
8.9,10,9.3,9.6,9.7,7,6.8,8.5,9.1,7,9.6,8.4,6.134513274336284
5.8,7.3,6.7,8.1,7.1,5,7.2,7.4,6.7,6.6,8.8,5.6,6.834065934065934
5.7,9.1,7.2,8.3,7.8,5,7.9,7.7,8.4,8.1,7.7,9.7,7.247191011235955
5,7.5,6.5,7.3,6.3,5.4,5,7.3,6.2,5.8,7.8,7.4,6.116279069767442
8.4,9.5,8.9,8.1,9.6,5.8,9.6,9,8.8,7,9.3,7.2,8.52235294117647
10,8.4,9.8,9.3,9.6,7,8.1,9.3,9.1,8.6,9.1,8.8,8.771764705882353
8.7,9.6,8.6,9.3,8.7,7.5,7.6,9.4,9.5,7.5,9.7,7,8.661176470588236
7.2,10,8.2,7.4,8.5,7.2,6.8,7.4,6.5,7,9.3,5.8,7.010588235294118
6.3,7.2,5.3,7.6,7.9,5,6.3,7.7,6.3,7.8,5,7,7.1247191011235955
5.6,7.5,5.6,8,7,5.6,6,7.7,7,7.1,8.8,7,7.058620689655172
10,8.3,8.6,8.4,8.9,7.6,8.6,8.8,9.2,7.5,8.5,9.2,8.772941176470589
7.8,8.5,7.7,8.4,8.3,5,7.4,9,7.4,7.7,9.6,7.2,7.725882352941177
7.1,8,5,8.5,5,8.2,5.4,7.2,6,7,7.2,5.6,6.467032967032967
7.1,8.3,7,7.7,5.8,7.2,6.5,7.4,7.7,7,9.2,7.3,7.083157894736842
7,8.7,6.5,8.1,6.3,5,7,7.7,5,5.6,8,7,6.604819277108434
6.3,7.3,6.2,8.3,5.8,5,6.4,7.44,6.1,7,7.4,8.8,7.212413793103448
8.2,9.6,7,9.1,5.6,5.1,8.8,7.1,6.4,7,9.3,8.3,7.9941176470588236
7.1,9.6,8.4,8.2,8,9,6.8,8.8,8.3,7,9.3,7,7.963218390804597
7.6,9.8,8,8.8,7.6,5,7,8.8,7.4,7.3,9.2,6.1,8.032183908045976
5,8.8,8.4,7.8,8.4,5.4,5,6,5,6.4,8.2,7.2,6.510752688172043
8.3,9,7.8,7.9,8.2,5,8.5,9,7.8,7.3,9.2,8.1,8.213793103448277
5,9,9.2,7.4,9.4,7,6.3,7.4,7.4,7,8.9,7.3,7.34
5,7.8,7.1,6.3,7.3,7.7,5.8,6.5,6.4,7,8.6,6.3,7.144705882352941
5,7.3,5.6,5.9,5,5,5,5.3,5.1,7,7,5,5.959405940594059
5.1,8.6,5.5,7.1,5.7,5.1,6.3,6.4,5.9,7.3,8,8.3,5.635398230088495
7,9.4,9.6,7.4,9.5,7.9,5.2,9.2,7,7.9,9,8.3,7.347126436781609
8.3,7,8,8,8.4,5.2,6.7,8.6,6.8,7.1,8.9,7.5,6.578571428571429
5,9,5.9,6,5.4,7,7.4,7.6,5.7,7,7.7,7,6.3364705882352945
9.3,9.4,8.1,9.2,8.6,6.5,8.4,9.1,7.9,7.4,9.4,7.5,8.530588235294118
7.1,9.5,9.1,8,7.8,5,6.5,8.1,8.2,7,9.2,5.3,7.4348314606741575
6.4,8.5,5,7.5,7,5.4,5,6.7,5.1,5,8.2,9.5,7.059550561797752
7.4,7.75,5.7,7,6,5.2,5.8,7.9,7,6.8,9.4,7.2,6.810344827586207
6.8,9.3,5,7.2,5.4,5,6.6,8.7,7,6.4,8.4,8.3,7.58235294117647
8.8,9.6,7.7,9,7,5.7,5.4,7.4,7,7,9.2,7.3,7.592941176470588
8.4,9.6,7.8,8.4,8.2,5.6,7,7.3,8,7,9.1,5.1,6.843956043956044
5.6,9.1,8.5,8.8,9.1,5,7.3,8.4,9.3,7,9.5,7,7.923529411764706
5.5,9,8.5,9.3,8.6,5.9,5.2,8.2,6.3,7.2,9.5,5.4,7.44022988505747
7.7,9.5,8.6,8.5,7.8,8,8.1,9.3,7.7,7,9.3,7.5,8.270588235294118
8.1,8,6.2,8.4,6.7,5.7,7.9,7.9,7,8.7,8,5.9,7.7964705882352945
5.7,8.3,6.6,7,7,5.1,5.5,6,5,7,8.5,8.8,4.874468085106383
7.3,7.6,7.9,7.7,7.8,6.1,7,7.8,7.6,7.5,9,7.2,7.495402298850575
5.3,8.5,8.1,7.3,5.6,5,5.2,6.4,8.3,5,5,7,6.783146067415731
6.4,9.1,8.2,8.9,8,5.2,7,8.6,8.6,7,9.1,7.2,7.225806451612903
5.8,7,8,7.2,9,5,8.4,8.6,7.5,5.3,9.2,5,7.933734939759036
8,9.2,7.6,9.8,9.1,6.3,8.1,8.1,8.3,8.6,9.2,7.8,8.309411764705882
7.6,9.6,8.6,9.5,8.6,7.5,9.2,8,8.7,7,9.7,8.6,8.439759036144578
8.5,9.6,8.8,8.4,8.5,7,9.3,8.9,9.6,8.4,9.3,8.2,8.2470588235294109
7,8,8.3,8.2,8.9,7.5,7.7,9.3,8.1,7,9,8.7,7.368539325842696
6.2,7,6.1,7.8,5.6,5.1,5.1,6.3,5,7.8,8.7,5.9,6.634939759036145
7.7,7.7,8.3,7.9,8.4,5,5,8.3,8.4,7.3,8.9,7.2,8.02235294117647
6.4,8.7,8.1,8.9,8.8,5.2,7.1,9,6.1,5,8.2,8.7,7.442528735632184
7.8,9.2,7,8.8,9.3,5.7,6.1,8.1,6.8,7,8.8,7.2,7.501176470588236
5.5,8.2,7.1,8.9,7.8,5.3,5.2,7.1,7,7.8,8.3,6.8,6.000934579439252
8,9.3,8,7.5,7.3,5.5,6.2,9.1,7.2,7,9.2,8.1,7.761176470588236
9.2,8.5,7.3,8.6,8.5,7,7.4,7.8,6.8,7,8.5,7.5,7.684705882352942
6.5,9.1,9.5,7.9,9.7,7,6.2,8.4,6,7,9.2,7.1,6.763636363636364
7.2,7,8.3,7,8.5,7,6.8,9,5.7,8.1,8.7,7.3,6.929166666666667
7,8,7,8.6,7,5.3,5.9,7.2,7.7,5.1,8.1,7,7.86987951807229
7.2,9.3,7.8,8.2,7.2,6.4,5.5,8,7.8,7,9.2,5.8,7.720689655172414
6.6,6.2,5,8,7.5,6,6,7.1,6.3,7,7.9,5.1,7.267469879518073
6.4,6.2,5.4,6.7,7.1,5.1,6.6,6.4,5.5,5,5.6,8.2,7.250574712643678
9.1,7.6,10,10,10,8.5,9.2,9.2,10,8.5,8.7,9.8,8.850588235294117
6.8,7.5,8.1,7.2,8,8.6,5.6,8.3,7.2,7.3,9,6.2,6.415841584158416
9.1,8.2,8.1,9.9,8.6,8.3,8.1,8.9,7.6,9.1,9.1,8.7,8.802352941176471
6.2,10,5,7.8,5.8,8,6,5.5,5.1,7,5.8,6.2,5.758878504672897
9.7,7.3,9.1,9.8,8.8,8,7.6,9,8.9,7.5,9.1,7.8,7.669230769230769
5.7,7.7,5.4,7.5,5.8,7.5,5.4,7,5.3,7,8.9,5.2,5.581651376146789
8.9,9.3,7.4,8.3,7,5.1,5.4,7.9,7.4,7,9.4,6.7,7.207865168539326
8.3,7.6,7.4,9,7.8,5.8,6,7.9,6.3,7.4,7.9,5.3,6.905263157894737
7,8.3,7.8,8.1,7.8,9.3,7.4,8.2,7.6,6.5,9.7,7.2,6.931958762886597
10,8,6,7.1,6.2,7,5.6,6.3,7.2,7.3,8.5,9.5,7.4011764705882355
7.9,7,6.6,8.6,6.7,5.2,7.6,7.8,7.1,7,7,5.6,6.995505617977528
8,10,5.1,7,5.5,7.3,5.2,8.3,7.4,5.8,8.9,7.1,6.986206896551724
7.1,7.8,5,8.2,5,8.2,7,7.8,8.2,7,8.9,8,7.102247191011236
5,7.2,7.8,7.4,8.1,5.3,7,6.7,5.9,7.1,7.5,5,7.282022471910112
9.2,8,8.9,9.8,9.8,8.1,8,9.3,9.8,8.2,9.1,9.5,8.924705882352942
7,8.6,7.4,8.3,5.9,5,5.3,7.6,7.2,8.3,9,6.1,7.3
